,date,5. adjusted close,symbol
17061,2004-07-25,0.4653,AAPL
17062,2004-08-01,0.4901,AAPL
17063,2004-08-08,0.4513,AAPL
17064,2004-08-15,0.4674,AAPL
17065,2004-08-22,0.4668,AAPL
17066,2004-08-29,0.5206,AAPL
17067,2004-09-05,0.5339,AAPL
17068,2004-09-12,0.5436,AAPL
17069,2004-09-19,0.5629,AAPL
17070,2004-09-26,0.5651,AAPL
17071,2004-10-03,0.5861,AAPL
17072,2004-10-10,0.592,AAPL
17073,2004-10-17,0.6896,AAPL
17074,2004-10-24,0.7185,AAPL
17075,2004-10-31,0.7941,AAPL
17076,2004-11-07,0.8293,AAPL
17077,2004-11-14,0.8411,AAPL
17078,2004-11-21,0.8361,AAPL
17079,2004-11-28,0.9783,AAPL
17080,2004-12-05,0.9499,AAPL
17081,2004-12-12,0.9874,AAPL
17082,2004-12-19,0.9849,AAPL
17083,2004-12-26,0.9701,AAPL
17084,2005-01-02,0.976,AAPL
17085,2005-01-09,1.0495,AAPL
17086,2005-01-16,1.0639,AAPL
17087,2005-01-23,1.0683,AAPL
17088,2005-01-30,1.1212,AAPL
17089,2005-02-06,1.1948,AAPL
17090,2005-02-13,1.2308,AAPL
17091,2005-02-20,1.3156,AAPL
17092,2005-02-27,1.3487,AAPL
17093,2005-03-06,1.2976,AAPL
17094,2005-03-13,1.2206,AAPL
17095,2005-03-20,1.3021,AAPL
17096,2005-03-27,1.2882,AAPL
17097,2005-04-03,1.2394,AAPL
17098,2005-04-10,1.3258,AAPL
17099,2005-04-17,1.0715,AAPL
17100,2005-04-24,1.076,AAPL
17101,2005-05-01,1.093,AAPL
17102,2005-05-08,1.1288,AAPL
17103,2005-05-15,1.0539,AAPL
17104,2005-05-22,1.1382,AAPL
17105,2005-05-29,1.2294,AAPL
17106,2005-06-05,1.1591,AAPL
17107,2005-06-12,1.0854,AAPL
17108,2005-06-19,1.1612,AAPL
17109,2005-06-26,1.1445,AAPL
17110,2005-07-03,1.1063,AAPL
17111,2005-07-10,1.1594,AAPL
17112,2005-07-17,1.2594,AAPL
17113,2005-07-24,1.3337,AAPL
17114,2005-07-31,1.2927,AAPL
17115,2005-08-07,1.303,AAPL
17116,2005-08-14,1.3973,AAPL
17117,2005-08-21,1.3891,AAPL
17118,2005-08-28,1.3864,AAPL
17119,2005-09-04,1.4009,AAPL
17120,2005-09-11,1.5552,AAPL
17121,2005-09-18,1.5522,AAPL
17122,2005-09-25,1.6125,AAPL
17123,2005-10-02,1.6249,AAPL
17124,2005-10-09,1.5549,AAPL
17125,2005-10-16,1.6368,AAPL
17126,2005-10-23,1.6871,AAPL
17127,2005-10-30,1.651,AAPL
17128,2005-11-06,1.8535,AAPL
17129,2005-11-13,1.8653,AAPL
17130,2005-11-20,1.9568,AAPL
17131,2005-11-27,2.1017,AAPL
17132,2005-12-04,2.2014,AAPL
17133,2005-12-11,2.253,AAPL
17134,2005-12-18,2.1554,AAPL
17135,2005-12-25,2.2233,AAPL
17136,2006-01-01,2.179,AAPL
17137,2006-01-08,2.3127,AAPL
17138,2006-01-15,2.5943,AAPL
17139,2006-01-22,2.3063,AAPL
